郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
凶狠	狰狞,阴毒,狂暴,残暴,残忍,凶横,暴虐,暴戾,泼辣,凶悍,蛮横,凶暴,残酷,横暴,凶恶,凶残,刁恶,悍戾,狞恶,狠毒,粗暴
吸烟	抽烟
但若	但如果
人心如面	人各有志
打狗不看主人面	罔顾情面
展览会	博览会
彰彰	昭彰,显然
即日	克日,不日,本日,今天,指日
穷源竟委	穷源溯流
父（母）丧	丁忧
竹马之交	青梅竹马
毫不相关	息息相关
慢腾腾	慢悠悠,慢吞吞
下流	卑劣,下贱,卑鄙,下游
无所不至	无微不至
望尘莫及	瞠乎其后,可望不可即
名声	名气,名望
孤掌难鸣	一盘散沙,独木难支,孤立无援
时时刻刻	每时每刻
真知灼见	远见卓识
夙怨	宿怨,宿恨
指鹿为马	混淆黑白,混淆是非,颠倒黑白,颠倒是非
刻舟求剑	一成不变,萧规曹随,胶柱鼓瑟,缘木求鱼,按图索骥,守株待兔,食古不化
名士	名流,名人,闻人
惶惑	惶遽,惶惶
伏枥老骥	归隐志士
先哲	前贤
悬想	揣想
酌定	裁夺,酌夺
转圜	调停,挽回,补救,挽救,斡旋,调解
惶惶	惶遽,惶惑
风扇	电扇
大局	时势,事势,局势,大势,局面
交卸	移交,交接,交代
内在	内涵
鄙弃	厌弃,蔑视,唾弃,轻视
内地	要地,本地,要地本地,内陆,腹地
若隐若现	若有若无
怪模怪样	奇形怪状
改头换面	洗面革心,改朝换代,乔装打扮,耳目一新,面目一新,洗心革面,面目全非
股份	股分
暴戾恣睢	无恶不作,丧尽天良,穷凶极恶,罪恶滔天
轻渎	亵渎,侮慢
鲜亮	鲜明
天寒地冻	千里冰封
誓辞	誓词
暗地	暗自,背地,私下
不休	不断,不息,不停
序文	序言,弁言,引言,小序,叙文
凶服	孝服,丧服
快意	写意,舒服,称心,得意,顺心,惬心,如意
发慌	发窘,慌张,恐慌,慌乱
豪华	阔绰,华丽,奢华
稳操胜券	十拿九稳,万无一失,可操左券
跺脚	顿脚
应声	回声
指挥	批示,带领,指使,指导,率领,领导,指示,指派
混充	冒充,假冒
遮挡	遮盖,遮蔽,掩饰
所长	长处,优点
桂花	木樨
不可多得	屈指可数
一己之见	一相情愿
和煦	温煦,温暖,暖和,温和,温顺
把握	掌控,驾御,掌握,驾驭,掌管,控制,控制结构
最让	最使
仕宦	官吏
雄浑	雄壮,雄健
阔别	离别,分别,远离,分袂,别离,分离,折柳,诀别,辞别
插足	插手,加入,参与,参预
华文	汉文
鸡零狗碎	鸡毛蒜皮,七零八碎,琐屑零星
时和岁丰	时和年丰
转化	改变,蜕变,转变,变化
鞠问	讯问,审问
赤忱	丹心,赤心
养成工	练习生
爽然若失	爽然自失
依人而立	因人成事
畅怀	开怀
高卑	崎岖
重病	沉痾,宿疾
卖身投靠	卖国求荣
班门弄斧	自作聪明,布鼓雷门
迁居	搬迁,搬家,乔迁,搬场,徙迁,莺迁
阃范	闺范
豫备	预备
摧眉折腰	奴颜媚骨,奴颜婢膝,卑躬屈膝
赤心	忠心,丹心,真心,至心,赤忱,诚心,诚意
识相	知趣
难听逆耳	刺耳
贻笑大方	见笑于人
诚恳	恳切,恳挚,真切,真挚,真诚,至诚,诚心,诚挚,诚笃,赤诚,老实,诚实,憨厚,殷切
黎民百姓	平民百姓庶民百姓
正途	正路,大道,正道,正轨
贮备	储备
附丽	依附
独断	专擅,专断
涌现	呈现,闪现,浮现,映现,显露,显示,出现,展现,显现
润滑	光滑
机密	机要,奥秘,秘要,秘密
病发	发病
雕谢	凋落,枯萎,凋零
仿照照旧	仍旧
盼愿	盼望
境地	境界,田地,地步
多此一举	节外生枝,明知故问,画蛇添足
言传身教	上行下效,以身作则,现身说法
量体裁衣	看菜吃饭,相机行事,见机而作,因地制宜,看风使舵,随机应变
蕃殖	繁生
出去	进来
广开言路	一言以蔽之
开动	启动
斗室	小房
前车可鉴	前车之鉴
扞格难入	格格不入
小坐	略坐
十恶不赦	恶贯满盈,罪大恶极,罪恶滔天
入国问俗	入境问禁
歪七扭八	歪歪扭扭
开办	创办,创设,兴办,创立
照应	呼应,照料,照拂,照管,照顾,看护,照看,关照
受宠若惊	被宠若惊
文籍	典籍,图书
可儿	可人
公正无私	大公无私
拿手	专长,擅长,特长
牵扯	牵涉,牵连
表白	剖明,表明,表达
回响	反响,回声
不明不白	暧昧不明
无一生还	全军尽没
病愈	痊可,痊愈,康复,全愈
偏言	曲说
刺目耀眼	刺眼
里手	内行,行家
归结	归纳
时运不济	生不逢时
削减	减少,裁减,缩减,减削
再嫁	重婚
保持	维系,维持,连结,保留,坚持
兴起	鼓起,崛起,兴盛
牛骥同槽	牛骥同皂
菜籽	菜子
精壮	精悍,精干,干练
陵园	陵寝
大旨	主题,主旨,要旨
十万火急	兵临城下,急如星火,燃眉之急
克复	光复,收复,复原
鲜花易谢	好事多磨
门风	家声
大族	富家,巨室
均匀	平均,匀称
塑像	泥像
明天将来	来日
谋财害命	杀人越货,打家劫舍
应许	承诺,应允,愿意,准许,允许,允诺,同意,容许,应承,答应
勾连	勾联
练习训练	演练
地址	住址,地点,地方,所在
蛤蟆	虾蟆
声誉鹊起	身价百倍,名震一时
顺次	循序,挨次,依次,递次,按序,按次,次第,顺序
香喷喷	香馥馥
去如黄鹤	杳如黄鹤
一代风流	遗臭万年
一概	同等,完全,一致,全体,一律,统统,全部
生死之交	莫逆之交,刎颈交,刎颈之交,生死与共
凡夫俗子	伧夫俗人,等闲之辈,仙风道骨
仆从	奴婢,奴才,奴隶,奴仆,跟班
重任	重担
借道	借路
吐刚茹柔	欺软怕硬,欺善怕恶
合计	算计,总计,共计
起因	缘故,情由,理由,原因,出处,来由,由来,原由,因由,原故,源由
拍照	摄影,照相
铺张扬厉	铺排张扬
迷途知反	觉返迷津
认罪	伏罪,服罪
忐忑不定	惴惴不安,七上八下
原谅	宽恕,海涵,包容,谅解,饶恕,宽容,见谅,包涵,留情,原宥,体谅,见原
鸦雀无声	阒寂无声,万籁俱寂,万籁无声,悄然无声
忐忑不安	惊慌失措,局促不安,目瞪口呆,提心吊胆,惴惴不安,心烦意乱,七上八下,心乱如麻,惊惶失措,坐立不安
嬉皮笑脸	喜笑颜开,玩世不恭
弊病	毛病,弊端
稽核	考查,查核,审核,考察,考核
切近亲近	逼近
洗炼	洗练
集结	鸠集,召集,会集,聚集,集中,会合,齐集,纠合,纠集,调集,集合,凑集,聚合,聚积,群集,聚会,鸠合
狗洞	狗窦
饱食终日	四体不勤,无所事事
见色忘友	重色轻友
开初	当初,起初
稻粱谋	衣食计
整饬	整治,整理,整顿
戒备	防备,预防,警戒,警觉,警备,警惕,提防,注意
笠帽	斗笠
指日	克日,不日,即日,近日
混堂	浴池,浴室,澡堂
蛰伏	冬眠
书页	册页
突然	俄然,陡然,倏忽,蓦然,骤然,顿然,遽然,蓦地,猛然,乍然,倏地,忽地,卒然,忽然,猝然
半身不遂	半身不摄
柴门有庆	蓬荜生辉
宣扬	鼓吹,宣传,张扬,传布,散布,传扬,鼓动宣传,外扬,传播,宣称,鼓动
长吁短叹	对天长叹,唉声叹气,仰屋兴嗟
惊天动地	震天动地
田园	田野,田地,桑梓,故乡,原野,乡里,家乡,家园,梓里
孺子	童子,儿童,稚童
倒霉	恶运,不利,倒楣,厄运,倒运,晦气,不幸,糟糕
另辟蹊径	独辟蹊径
纳税	征税
皎洁皎洁	洁白
抄掠	搜劫
窥豹一斑	窥见一斑,可见一斑
怀旧	复古,念旧
嚚猾	狡猾,阴险
罢职	撤职,免职
日薄西山	每况愈下,江河日下,日暮途穷
只是	仅仅,不过
怡悦	愉快,欢乐,欢喜,快乐,欢跃,喜悦,痛快,乐意,得意,快活,高兴,兴奋,开心
排难解纷	排忧解难
不修边幅	蓬头垢面,囚首垢面,鹑衣百结,不拘小节,衣衫褴褛
不赞一词	缄口不言
腊尽冬残	年近岁迫,年近岁终
怯生	胆怯
出走	出奔
人心	民心,民气
筹谋	策划,运筹帷幄
明代	明朝
连累	带累,株连,拖累,扳连,干连,牵缠,牵累,牵涉,牵连,遭殃
经纪人	中人
八方呼应	一呼百应
无宁	毋宁
大量	洪量,大宗,大批,巨额,多量
轻盈	轻捷,轻快,轻巧,轻飘,轻浅
拼死	冒死,搏命,拼命
拟订	订定,制订,制定
罗唆	絮叨
确凿	的确,准确,确实,凿凿,确切的说,确切,切实,可信,实在,真实
胜券在握	瓮中捉鳖,左券在握
开拓	开发,开垦,开荒,斥地,开辟,拓荒
开拔	进抵,出发,开赴
顾惜	爱惜,珍惜
这天	此日,是日
可有可无	无关紧要,无足轻重
全力	尽力,努力,勉力,极力,悉力,戮力,竭力,致力
体无完肤	皮开肉绽,遍体鳞伤,伤痕累累
随风转舵	见风使舵
乡村	乡间,墟落,农村,乡下,屯子,村落,村庄
不容易	不易
温情脉脉	含情脉脉
尝尝	试试
争持	冲突,斗嘴,争辩,周旋,争论,争吵,争执,辩论,僵持,对峙,相持,龃龉
隆起	凸起
伏输	服输
避难	出亡,逃亡,流亡,遁迹
聪慧	智慧,聪明,伶俐,机灵,聪颖,灵敏,聪敏
皎洁	雪白,光明,皎皎,洁白,明净,皎白
惟一	唯一
白色	红色
可否	能否
六合	天地,宇宙,天下
微薄	菲薄单薄,绵薄,菲薄,单薄,浅薄
退役还乡	解甲归田
先行	后行
国计民生	民生国计
巨擘	巨子,巨头,权威
席不暇暖	应接不暇
出奇	稀奇
破旧	陈腐,陈旧,古旧,破烂
深宵	子夜,夜深,更阑,半夜,深夜,夜阑
锣鼓喧天	敲锣打鼓
开导	疏导,启发,劝导,启迪,引导,启示
出奔	出走
死后	身后
迅速	急速,连忙,疾速,快捷,火速,赶快,神速,快速,急忙,敏捷
文牍	文书,文告,尺素,尺牍,书信,函牍,尺书,尺简,布告,秘书,信札
略则	大纲
清晰	分明,清楚,明了,明晰,明白,了然,真切
不宁不奈	不宁奈
不成体统	有失体统
城狐社鼠	狐假虎威
终极	最终
按序	挨次,依次,递次,顺次,顺序
以卵击石	螳臂当车,螳臂挡车,不自量力,蚍蜉撼树
挺身而出	自告奋勇
欣赏	浏览,赏识,观赏,赏玩,鉴赏,玩赏
鹰觑鹘望	鹰瞵鹗视
天涯	海角,天边,天际
机动	灵活
酷热	炎热,灼热,酷暑,炽热,炽烈,闷热,炙热
个性	性情,性格,性子,本性,天性,特性,脾气
惯例	常规,通例,向例,老例,常例,旧例
人情世故	人之常情,世态炎凉
馥郁	芬芳
没收	充公
周到	严密,周至,周详,精密,严谨,缜密,详细,细密,殷勤,周全,全面,周密,精心
诵读	朗诵,朗读
风流云散	烟消火灭,烟消云散,云消雾散
自戕	寻短见
因此	于是,是以,所以,因而
重办	严惩
通力合作	同心协力,和衷共济,同心同德,集思广益,群策群力,同舟共济,同甘共苦,共同努力,同心合力
新月	初月,月牙,眉月
屏弃	舍弃,唾弃,抛弃,摈弃,放弃,放手
敏锐	伶俐,锐利,敏感,灵敏,犀利,机敏,敏捷,灵活
人言可畏	流言蜚语
东主店东	店主
茕居	独居
告发	告密,密告,举报,揭发
欺人之谈	弥天大谎
声势浩大	叱咤风云,汪洋大海,大气磅礴,气吞山河,大张旗鼓,气壮山河
比方	比喻,比如,譬喻,例如,譬如,歧
不行	不可,不成,不能
无济于事	于事无补,杯水车薪
走运	行运,幸运,交运
发酒疯	撒酒疯
转班	调班
嫡亲	近亲,天伦,至亲
疑义	疑问,疑难
阿谀逢迎	阿谀奉承
一寸丹心	赤子之心
娇嫩	柔嫩
普渡众生	普度众生,救苦救难
顾盼生姿	顾盼生辉
核阅	审阅
以身报国	以身许国
羞辱	侮辱,羞耻,耻辱
势如破竹	秋风扫落叶,势不可当,百战百胜,所向无敌,节节胜利,长驱直入,所向披靡,摧枯拉朽,锐不可当
回转	展转,反转展转,反转
胡作非为	耀武扬威,任性妄为,作奸犯科,为所欲为,不可一世,无法无天,飞扬跋扈,惹是生非,为非作歹,专横跋扈,横行霸道,胆大妄为,轻举妄动,作威作福,肆无忌惮
平等	同等,对等
精神	元气,灵魂,精力,魂魄
设宴	设席
拌合	搀合,搀和,拌杂
卫士	警卫,卫兵,保镳
三长两短	山高水低
征聘	征请
客套	礼貌,客气
国蠹	民贼,国贼
膺选	中选,当选,入选
劣马	驽马
开赴	出发,开拔
船坞	船厂
避实就虚	避重就轻,就事论事
戍卫	卫护
早霞	朝霞
隐士	山人,蓬菖人
戍卒	守兵
流亡	漂泊,流落,亡命,流浪,出亡,逃亡,避难,流离
无能为力	爱莫能助,敬谢不敏,望洋兴叹,力不从心,无可奈何,力所不及,无计可施,仰天长叹
正经八百	正经八摆
缺课	旷课
大骂	痛骂
小数	少量
不容置疑	毫无疑义,无可置疑,千真万确
御林军	羽林军
骚乱	动乱
训斥	指责,申斥,怒斥,谴责,训责,责备
充实	富裕,充足,满盈,填塞,充盈,充分,充溢,宽裕,饱满,充沛,充塞,充裕
定居	假寓
虚情假意	假仁假意,装腔作势
毕生	终生一生没世,一生,终生,终身
其他	其余
卓见	明见,远瞩,卓识
蜂拥而至	一拥而上,蜂拥而上
驯良	和善,善良,驯顺
长年	常年,终年
魄力	气势,气魄,气概,气概气派
忍气吞声	含垢忍辱,含垢纳污,饮泣吞声,委曲求全
肆无忌惮	为所欲为,明目张胆,气焰嚣张,无法无天,明火执仗,为非作歹,专横跋扈,无所顾忌,毫无所惧,横行霸道,胡作非为,任性妄为,作威作福,堂堂皇皇
打手势	打手式
签定	签订,订立,签署,缔结
磨擦	摩擦
抹煞	勾消
显眼	显目,醒目
庇护	保护,维护,袒护,偏护,珍爱,呵护,回护,爱护,包庇,守卫,扞卫,护卫,掩护,卵翼
转身	回身
前后相接	肩摩踵接
险恶	阴毒,邪恶,险峻,凶恶,凶险
相近	左近,附近,邻近
职业女性	职场女性
风流人物	风云人物
环游	周游
今天	本日,即日,明天
校订	校正,改正,校阅,订正,校勘,勘误,校对,考订
横生枝节	节外生枝
深入显出	深入浅出
今夜	彻夜
权威	权势,权势巨子,巨头,威望,巨擘
预赛	初赛
吉凶	休咎,福祸
起死回生	妙手回春,化险为夷,死而复生,绝处逢生,转危为安,死去活来
随声附和	吠影吠声,吠形吠声,拾人牙慧,人云亦云,耳软心活
婉词	婉言
失利	战败,失败,败北,铩羽
必不得已	万不得已,迫不得已,出于无奈
酒保	侍者
分散	分布,星散,散开,离别,涣散,分别,分开,扩散,离散,分离,疏散,支离,分袂
升沉	起伏
深入	深刻,深切,深化
序论	序言,前言,弁言,绪论,绪言,引子
手足昆季	昆玉,昆仲
百炼成钢	千锤百炼
汹涌澎拜	风起云涌
投诚	投降,屈服
风吹草动	打草惊蛇
现代	当代,摩登,今世
入座	入坐
投诉	赞扬
明天	翌日,来日诰日,来日,今天
巴望	祈望,期望,希望,渴望,指望,企望,盼望
现今	当今
速战速决	兵贵神速,快刀斩乱麻
啼笑皆非	哭笑不得
泅水	游水,拍浮,游泳
浅陋	愚陋,肤浅,浮浅,菲薄,浅薄,陋劣
满目荒凉	十室九空,劫夺一空
军备	武备
十全十美	天衣无缝,浑然一体,无懈可击,完美无缺,精美绝伦,尽善尽美
希少	稀少
下面	底下
摇晃	摇曳,摇动,摇荡,摆荡,晃动,晃悠,摇摆,晃荡
惊扰	惊动
言近旨远	语重心长
鄙言	粗言
差异	区别,差距,不同,差别,分别,悬殊,分歧,互异
寥寥可数	沧海一粟,屈指可数,寥若晨星,寥寥无几,九牛一毛
喋不休	咕哝不已,大言不惭
周密	严密,精细,周至,邃密,周详,详尽,严谨,缜密,详细,细密,仔细,慎密,周全,全面,细致,周到,严紧
孤立无援	孤军奋战,孤掌难鸣
岁暮	年末,年终,年关,年尾,年底
浅薄	愚陋,陋劣,肤浅,浮浅,菲薄,微薄,浅陋,浅显
宝山空回	一无所获,一无所得
告罪	陪罪,道歉
没紧要	没关系
故作姿态	盘马弯弓
名副其实	货真价实,名不虚传,当之无愧,表里如一,名实相符,名实相副
左顾右盼	三心两意,东张西望,瞻前顾后,目不邪视
飞扬	飞腾
委曲求全	逆来顺受,含垢忍辱,忍辱负重,忍气吞声,低声下气,犯而不校
道贺	庆祝,道喜,祝贺,贺喜,庆贺
痛斥	驳斥,怒斥
通书	历本,黄历
延迟	贻误,迟误,耽误,延长,耽搁,耽延
勘测	勘察,勘探,测量
广泛	宽泛,普及,遍及,寻常,广博,广大,普通,普遍,辽阔,通常,无边
冒失鬼	失魂鱼,鲁莽汉
保送	输送
触犯	冲撞,得罪,冒犯,开罪
自由自在	逍遥自在,无拘无束,悠然自得
跃跃欲试	蠢蠢欲动,伎痒,擦拳磨掌,摩拳擦掌,擦掌磨拳,擦拳抹掌,不觉技痒
肥美	肥沃,沃腴
梁上君子	鼠窃狗偷
城开不夜	金吾不禁
爽然自失	爽然若失
收拾	处理,整理,料理,拾掇,打点,摒挡
滴水穿石	铁杵磨针
太过	太甚,过分,过度
划定规矩	规则
收拢	合拢
抗衡	抗拒,对抗,匹敌
尚有	另有
逐步	逐渐,渐渐,慢慢
窒息	梗塞,窒塞
授与	授予,给与,赏赐,赠给
慨叹	叹息,感叹,感喟,感慨
灵验	有效
心腹之患	肘腋之患,变生肘腋,心腹大患
黑幕	内情,内幕,底细
尚未	还没有
悄悄	偷偷,阒然,轻轻,默默,静静,悄然,暗暗,寂静,寂然
男大当婚，女大当嫁	男婚女嫁
追根究底	追本溯源
奇峰罗列	奇峰林立
笑逐言开	喜形于色
苦守	坚守,死守
相得益彰	相辅相成,珠联璧合
安适	宁静,舒适,舒服,安定,恬适,安好,安逸,安全,安闲,安乐,安详,安宁,安静,悠闲,清闲
观测	观察,察看,推想,视察
敏捷	矫捷,急迅,伶俐,迅捷,飞快,灵便,灵活,快捷,火速,灵敏,灵动,机敏,快速,迅速,敏锐,灵巧,麻利
富庶	富饶
剥削者	吸血虫,吸血鬼
演示	示范
独创	开创,创作,首创,始创,创造,发明
分崩离析	各行其是,同床异梦,土崩瓦解,支离破碎,同室操戈,豆剖瓜分,离心离德,四分五裂,尔虞我诈
刚强	刚烈,固执,坚硬,坚决,刚正,顽强,坚定,坚毅,倔强,强项,坚强,刚毅,强硬
保姆	保母
玉颜	美貌
美誉	美名,佳誉
知己	亲信,石友,心腹,知音,良知,相知,至友,深交,老友,挚友,知交,知友,好友,密友,知心
每年	每一年
发言	谈话,讲话,说话
倾圮	倒塌
倾圯	坍毁,崩裂
琐屑较量	斤斤计较
退色	褪色
佳话	韵事,美谈,嘉话
灾患丛生	祸不单行
入款	进款,存款
吆喝	叫喊,呐喊,叫嚷,呼喊
信誓旦旦	海枯石烂,山盟海誓
妙选	妙简
透澈	透辟,澈底
心坎	心里,内心,心田
好学	勤学
加添	增添,增加,添补,填充
浩如烟海	星罗棋布,不计其数
兴致勃勃	兴高采烈,津津有味
置之度外	置若罔闻,置之不理,宠辱不惊,充耳不闻
钱袋	银包,荷包,腰包
府上	贵寓,尊府
扬扬洒洒	纷纷扬扬
病国殃民	祸国殃民
多量	大批,大量
月朔	初一
掩护	保护,遮盖,回护,庇护,包庇,掩盖,掩饰,袒护
过活	度日
小心翼翼	战战兢兢,谨小慎微,兢兢业业,小心谨慎,深谋远虑,谨言慎行,不寒而栗,如履薄冰,一丝不苟,胆小如鼠,如临深渊
气急败坏	感情用事,暴跳如雷
兵不厌权	兵不厌诈
流派	派别,门户,宗派
执著	固执,执拗,顽固
黑压压	黑漆漆,黑洞洞,黑糊糊
效能	效用,功效,效率,功用,效力
少顷	半晌,刹那,有顷,顷刻,片时,片刻,一会,俄顷,少焉,少间,片晌,移时,转瞬,霎时,须臾
恻然	怅然
早出晚归	披星戴月
按摩	推拿
懒怠	懒惰,怠惰,懈怠,懒散
晕头转向	昏头昏脑,蒙头转向
洗尘	接风
奇异乖张	古怪
轻重倒置	舍本逐末,本末倒置
七、	7、
今年	本年
驰名	出名,著名,驰誉,有名,闻名,着名
伺探	侦察
爽气	爽快
行程	旅程,路途,途程,路程
风言风语	飞短流长,流言蜚语,无稽之谈
历历在目	念念不忘,记忆犹新,记忆犹心
近来	最近,迩来,比来
居民	住民,住户
惦记	惦念,怀想,系念,牵记,想念,担心,记挂,挂念,思念,牵挂,缅怀
越职代理	越俎代庖
古道	旧道
世人	众人
积习沉舟	水滴石穿
殨脓	溃脓
礼品	礼物
略微	稍微
喧阗	纷扰
各执一词	各行其是,莫衷一是,各不相谋,众说纷纭,各自为政,众口纷纭
借约	借条,借据,借单
加倍	更加,越发
春天	春季
豪饮	牛饮
波澜壮阔	千军万马,汹涌澎湃,气象万千
虎睨	鹰视
旧恨	宿怨,宿恨
忠言	忠告
蟑螂	甲由
瓜代	交替
军书	羽书
顺手推舟	因势利导
冷视	漠视
彩色B超	彩超
轱轳	轱辘
意想	意料,预想,预料,料想
金兰交	莫逆交
开顽笑	开玩笑,恶作剧
更始	鼎新,刷新
神经病	精神病
阻滞	阻碍,阻拦,阻塞,窒碍,阻止,中止,梗塞,妨碍,闭塞,停息,停顿,阻挠,阻挡,停滞,波折,壅闭,湮塞,滞碍,窒塞,障碍,雍塞
输送	运输,运送,保送
淤塞	堵塞,疏濬
配角	副角
谣传	讹传
资格	资历
国贼	民贼,国蠹
觉返迷津	迷途知反
咨询	商榷,询问,商讨,商量,征询
余暇	空闲,幽闲,清闲,闲散
有眼无珠	有眼不识泰山,视而不见
笔底生花	挥洒自如
谈判	商谈,商洽,讲和,协商,商量,媾和,交涉,会谈,会商,构和,洽商,商榷,商讨,商议
逃出法网	逍遥法外
正直	正派,廉洁,正大,刚正,刚直,端正,朴直,朴重,耿直,方正,梗直,清廉,耿介
倾巢而出	不遗余力
涤故更新	鼎新革故
出乎意料	出乎预料,出人意料,出其不意,出乎意外
即便	即使
夹击	夹攻
清静	宁静,寂寥,静谧,肃静,岑寂,安静,平静,冷清,僻静,寂静,冷静,安宁,平宁,幽静
后记	跋文
家学渊源	世代书香
殷切	恳切,迫切,恳挚,急切,诚恳
不祧之祖	三皇五帝,不祧之宗
周代	周朝
硬汉	强人,铁汉,英雄,好汉
布掸子	拂尘
店保	铺保
高作	高着,高招
演艺圈	演艺界
后悔	忏悔,悔怨,反悔,懊恼,悔恨,懊丧,懊悔
年岁	年纪,年事,年龄,年齿,年龄结构,岁数,年数
高低	上下,凹凸,崎岖
催促	敦促,促使,鞭策,督促
景色	景物,风光,景致,景象,风景
储蓄积累	积聚
贤慧	贤惠
透风	通风
手足胼胝	手足重茧
封闭	关闭,闭塞,封锁,紧闭
傅会	附会
马糊	马虎
颠覆	倾覆,推倒,推翻,打倒
汤匙	汤勺
均权	分权
展开	睁开,开展,伸开,张开
骚动扰攘侵犯	扰乱
黑灯瞎火	漆黑一团,黑灯下火
携手合作	通力进行
之乎者也	焉哉乎也
售卖	出卖,贩卖,卖出
活灵活现	跃然纸上,栩栩如生,活龙活现,惟妙惟肖,绘声绘色,维妙维肖
托病	称疾
乞哀告怜	摇尾乞怜
自诩	自夸
四、	4、
领巾	围巾
庄严	郑重,正经,威严,肃静,庄重,肃穆,严肃,庄敬,矜重,端庄,尊严
逃债	避债
纸烟	香烟,卷烟
注水	灌水
陷阱	机关,圈套,陷坑,坎阱,罗网
解民倒悬	拯民水火
画龙点睛	一语道破,锦上添花,点石成金
神驰	向往,倾心
每天	天天
学徒	学生
曲谱	乐谱
枯败	枯萎
头脑	思维,脑子,思想,心思,脑筋
卫护	戍卫
介入	参与,染指
安产	顺产
滚滚	滔滔
目不转睛	全神贯注,聚精会神,目不斜视,专心致志
滋生	繁殖,孳乳,生长,孳生,滋长
连珠炮	连珠箭
省察	省检
鹅行鸭步	蜗行牛步
听天由命	听其自然,任天由命
拘捕	拘留,逮捕,捉拿,捕获,拘禁,拘押,扣押,拘系,监禁
美中不足	白璧微瑕
愚笨	笨拙,拙笨,迟钝,鲁钝,呆板,呆滞,呆笨,愚昧,愚蠢,蒙昧,鸠拙,无知,痴呆
二者	两者
滚蛋	滚开
按次	挨次,依次,顺次,顺序
笑里藏刀	口蜜腹剑,佛口蛇心,绵里藏针
雨遮	阳伞
冤家路窄	狭路相逢,不是冤家不聚头
振撼	轰动,惊动,震撼
放胆	放手,放任
州闾	梓里
词采	词藻
同僚	同寅
上床	就寝
暴风	狂风
村校	村学
菁华	精华
分量	重量,份量
刷新	鼎新,革新,更始
辐辏	辐凑
趾高气扬	耀武扬威,得意洋洋,得意忘形,眉飞色舞,洋洋得意,不可一世,气宇轩昂,扬眉吐气,自鸣得意,大摇大摆,高视阔步,大模大样,洋洋自得,目空一切,踌躇满志,沾沾自喜
食品	食物
强盗	土匪,匪徒,匪贼
不费吹灰之力	轻而易举,举手之劳,易如反掌,探囊取物
协商	商议,商讨,商榷,讨论,商洽,交涉,会商,咨议,商酌,商量,斟酌,洽商,磋商,磋议,计议,谈判,切磋
强盛	强壮,繁荣,繁盛,旺盛,强大,富强,昌盛,兴旺,壮大,兴盛,发达,昌隆
矮壮	敦实
生日	寿辰,诞辰,华诞
的一确二	丁一卯二
诊疗	治疗,诊治,医治,调治,医疗,调理
化妆	装饰,妆饰,化装,妆扮,妆点,打扮,扮装,粉饰
送丧	送葬,执绋
情态	神态
悦目	顺眼,雅观,美观,好看
逸事	轶事,逸闻,遗闻
一刹那	一瞬间
别扭	难受
送上	奉上
好高鹜远	脚踏实地
长命百岁	返老还童,天保九如,万寿无疆,长生不老
不能尽数	不能胜数
吹法螺	吹牛
驰念	想念,记挂,挂念,缅怀
理解	通晓,融会,理会,懂得,明了,领悟,了解,知道,会意,明白,认识,体会,分析,意会,解析,领会,领略
词不达意	言不尽意
博学多闻	见多识广,博古通今,见闻广博
好事	功德,善事
好于	好过
顺应	适应
好人	善人,大好人
悲叹	叹伤,哀叹,哀号
门路	蹊径,途径,门径,路径,路子,道路,路线,阶梯
再建	重修
顺序	次第,循序,程序,挨次,依次,递次,秩序,次序,顺次,按次,序次,按序
百里挑一	屈指可数,凤毛麟角,寥寥无几,寥若晨星
千奇百怪	光怪陆离
白手	徒手,赤手,空手
寿比南山	万寿无疆
阿其所好	投其所好
保卫	保护,卫戍,捍卫,守卫,守护,抵御,防卫,扞卫,警备,护卫
厕纸	草纸
书不宣意	言不尽意
顾盼生辉	顾盼生姿
心血来潮	灵机一动
通则	公例,公则
愤懑	怨愤,愤恨,怫郁,愤怒,气愤,义愤,愤慨,愤激,气忿
粉身碎骨奋不顾身	赴汤蹈火,肝脑涂地
老树枯柴	人老珠黄
不对	过失,舛错,纰谬,不合,舛讹,舛误,过错,谬误,差池,错误,不合错误,差错
成语	针言
枵腹	空腹
多多益善	越多越好
何如	怎么,奈何,如何是好,如何,若何,怎样
暴发	爆发
本钱	资本,成本
对准	瞄准
闹翻	决裂,争吵,翻脸,交恶,吵架
光鲜	鲜明
掷中	命中
心慌意乱	心烦意乱,方寸已乱
驯伏	帖伏
华美	壮丽,绮丽,华丽,富丽
引起	惹起,引发
查找	搜索
假装	冒充,装作,假充,假意,假冒,伪装
原故	缘故,情由,理由,原因,来由,由来,原由,因由,起因,出处,源由
坐镇	镇守
猪狗不如	狗彘不若
百尺竿头	欣欣向荣,蒸蒸日上,步步高升,日新月异,扶摇直上,百丈竿头,一日千里
豁略大度	宽宏大量
仙人	神仙
费尽心机	枉费心机,想方设法,化尽心血,千方百计,挖空心思,殚精竭虑,处心积虑,久有存心
顺水推舟	因利乘便,因势利导
务必	必须
西服	洋装,西装
二心	异心,他心,外心,贰心
凌空	腾空
晓示	晓谕,告示
轻便	轻巧,轻松,简便,简捷,轻省
餐风宿露	戴月披星,披星带月,餐风饮露,带月披星,披霜冒露,水宿风餐,餐风宿雨,披星戴月
疯癫	疯颠
种地	耕田,种田
邻接	毗邻,相接,连接,连接结构,相连
龇牙咧嘴	青面獠牙,挤眉弄眼
